v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,32.0,8909,4490,4419,0.0,0.0,0,379.4581106632087,32.0,7,12,False,"{2: np.int64(18), 6: np.int64(8), 0: np.int64(3), 5: np.int64(1), 1: np.int64(7), 3: np.int64(16), 4: np.int64(15)}","{(0, 1): [(np.int64(3), 7)], (0, 4): [(np.int64(3), 7), (7, np.int64(15))], (0, 5): [(np.int64(3), 1)], (0, 6): [(np.int64(3), 8)], (1, 4): [(np.int64(7), 15)], (1, 5): [(np.int64(7), 3), (3, np.int64(1))], (2, 3): [(np.int64(18), 8), (8, 3), (3, 7), (7, np.int64(16))], (2, 5): [(np.int64(18), 8), (8, 3), (3, np.int64(1))], (2, 6): [(np.int64(18), 8)], (3, 5): []}","{(2, np.int64(18)): {'cpu': 20}, (6, np.int64(8)): {'cpu': 14}, (0, np.int64(3)): {'cpu': 14}, (5, np.int64(1)): {'cpu': 9}, (1, np.int64(7)): {'cpu': 17}, (3, np.int64(16)): {'cpu': 15}, (4, np.int64(15)): {'cpu': 3}}","{((0, 1), (np.int64(3), 7)): {'bw': 20}, ((0, 4), (np.int64(3), 7)): {'bw': 2}, ((0, 4), (7, np.int64(15))): {'bw': 2}, ((0, 5), (np.int64(3), 1)): {'bw': 30}, ((0, 6), (np.int64(3), 8)): {'bw': 12}, ((1, 4), (np.int64(7), 15)): {'bw': 25}, ((1, 5), (np.int64(7), 3)): {'bw': 0}, ((1, 5), (3, np.int64(1))): {'bw': 0}, ((2, 3), (np.int64(18), 8)): {'bw': 33}, ((2, 3), (8, 3)): {'bw': 33}, ((2, 3), (3, 7)): {'bw': 33}, ((2, 3), (7, np.int64(16))): {'bw': 33}, ((2, 5), (np.int64(18), 8)): {'bw': 34}, ((2, 5), (8, 3)): {'bw': 34}, ((2, 5), (3, np.int64(1))): {'bw': 34}, ((2, 6), (np.int64(18), 8)): {'bw': 13}}",0.0,0.0,184.0,92.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,7.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -67}, 6: {'cpu': -36}, 0: {'cpu': -44}, 5: {'cpu': -84}, 1: {'cpu': -48}, 3: {'cpu': -85}, 4: {'cpu': -72}}, 'link_level': {(0, 1): {'bw': -55}, (0, 4): {'bw': -53}, (0, 5): {'bw': -38}, (0, 6): {'bw': -85}, (1, 4): {'bw': -45}, (1, 5): {'bw': -38}, (2, 3): {'bw': -20}, (2, 5): {'bw': -4}, (2, 6): {'bw': -9}, (3, 5): {'bw': 7}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}}}","{'node_level': {2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 7}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,7.0,10.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,58.0,8909,4490,4419,0.0,0.0,1,57.894051446014565,58.0,10,24,False,"{0: np.int64(18), 7: np.int64(8), 9: np.int64(3), 3: np.int64(1), 5: np.int64(7), 4: np.int64(16), 1: np.int64(15), 2: np.int64(0), 8: np.int64(17), 6: np.int64(4)}","{(0, 3): [(np.int64(18), 8), (8, 3), (3, np.int64(1))], (0, 4): [(np.int64(18), 8), (8, 3), (3, 7), (7, np.int64(16))], (0, 5): []}","{(0, np.int64(18)): {'cpu': 19}, (7, np.int64(8)): {'cpu': 15}, (9, np.int64(3)): {'cpu': 14}, (3, np.int64(1)): {'cpu': 15}, (5, np.int64(7)): {'cpu': 8}, (4, np.int64(16)): {'cpu': 13}, (1, np.int64(15)): {'cpu': 11}, (2, np.int64(0)): {'cpu': 9}, (8, np.int64(17)): {'cpu': 9}, (6, np.int64(4)): {'cpu': 6}}","{((0, 3), (np.int64(18), 8)): {'bw': 50}, ((0, 3), (8, 3)): {'bw': 50}, ((0, 3), (3, np.int64(1))): {'bw': 50}, ((0, 4), (np.int64(18), 8)): {'bw': 33}, ((0, 4), (8, 3)): {'bw': 33}, ((0, 4), (3, 7)): {'bw': 33}, ((0, 4), (7, np.int64(16))): {'bw': 33}}",0.0,0.0,238.0,119.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,56.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -68}, 7: {'cpu': -35}, 9: {'cpu': -44}, 3: {'cpu': -78}, 5: {'cpu': -57}, 4: {'cpu': -87}, 1: {'cpu': -64}, 2: {'cpu': -78}, 8: {'cpu': -61}, 6: {'cpu': -53}}, 'link_level': {(0, 3): {'bw': -18}, (0, 4): {'bw': -6}, (0, 5): {'bw': 32}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {0: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 56}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,80.0,8909,4490,4419,0.0,0.0,2,78.93121508861901,80.0,7,7,False,"{3: np.int64(18), 0: np.int64(8), 2: np.int64(3), 4: np.int64(1), 6: np.int64(7), 5: np.int64(16), 1: np.int64(15)}","{(0, 4): [(np.int64(8), 3), (3, np.int64(1))], (0, 5): [(np.int64(8), 3), (3, 7), (7, np.int64(16))], (0, 6): [(np.int64(8), 3), (3, np.int64(7))], (1, 2): [(np.int64(15), 7), (7, np.int64(3))], (1, 6): [(np.int64(15), 7)], (2, 3): []}","{(3, np.int64(18)): {'cpu': 18}, (0, np.int64(8)): {'cpu': 19}, (2, np.int64(3)): {'cpu': 19}, (4, np.int64(1)): {'cpu': 20}, (6, np.int64(7)): {'cpu': 6}, (5, np.int64(16)): {'cpu': 14}, (1, np.int64(15)): {'cpu': 9}}","{((0, 4), (np.int64(8), 3)): {'bw': 27}, ((0, 4), (3, np.int64(1))): {'bw': 27}, ((0, 5), (np.int64(8), 3)): {'bw': 23}, ((0, 5), (3, 7)): {'bw': 23}, ((0, 5), (7, np.int64(16))): {'bw': 23}, ((0, 6), (np.int64(8), 3)): {'bw': 5}, ((0, 6), (3, np.int64(7))): {'bw': 5}, ((1, 2), (np.int64(15), 7)): {'bw': 4}, ((1, 2), (7, np.int64(3))): {'bw': 4}, ((1, 6), (np.int64(15), 7)): {'bw': 23}}",0.0,0.0,210.0,105.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,4.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -69}, 0: {'cpu': -31}, 2: {'cpu': -39}, 4: {'cpu': -73}, 6: {'cpu': -59}, 5: {'cpu': -86}, 1: {'cpu': -66}}, 'link_level': {(0, 4): {'bw': -41}, (0, 5): {'bw': -36}, (0, 6): {'bw': -42}, (1, 2): {'bw': -43}, (1, 6): {'bw': -45}, (2, 3): {'bw': 4}}, 'path_level': {(0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 4}}, 'path_level': {(0, 4): {}, (0, 5): {}, (0, 6): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,7.0,6.0
4,1,1,57.0,57.0,20260.107829513832,20260.107829513832,1.0,1.0,2,3,1,110.0,8852,4475,4377,0.0033407572383074013,0.00950441276306857,3,355.44048823708476,110.0,2,1,True,"{1: np.int64(18), 0: np.int64(8)}","{(0, 1): [(np.int64(8), 18)]}","{(1, np.int64(18)): {'cpu': 13}, (0, np.int64(8)): {'cpu': 2}}","{((0, 1), (np.int64(8), 18)): {'bw': 42}}",57.0,57.0,30.0,15.0,42.0,15.0,42.0,15.0,42.0,0.0,1.0,20260.107829513832,20260.107829513832,355.44048823708476,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -74}, 0: {'cpu': -48}}, 'link_level': {(0, 1): {'bw': -47}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0
4,1,1,57.0,57.0,20260.107829513832,20260.107829513832,1.0,1.0,2,4,0,115.89405144601457,8852,4475,4377,0.0033407572383074013,0.00950441276306857,1,57.894051446014565,58.0,10,24,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
5,2,2,120.0,120.0,27911.46689566891,27911.46689566891,1.0,1.0,4,5,1,135.0,8789,4457,4332,0.007349665924276216,0.019687712152070658,4,121.45014390722343,135.0,2,1,True,"{0: np.int64(26), 1: np.int64(12)}","{(0, 1): [(np.int64(26), 12)]}","{(0, np.int64(26)): {'cpu': 17}, (1, np.int64(12)): {'cpu': 1}}","{((0, 1), (np.int64(26), 12)): {'bw': 45}}",63.0,63.0,36.0,18.0,45.0,18.0,45.0,18.0,45.0,0.0,1.0,7651.359066155076,7651.359066155076,121.45014390722343,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -56}}, 'link_level': {(0, 1): {'bw': -37}}, 'path_level': {(0, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0
5,2,2,120.0,120.0,27911.46689566891,27911.46689566891,1.0,1.0,4,6,0,158.931215088619,8789,4457,4332,0.007349665924276216,0.019687712152070658,2,78.93121508861901,80.0,7,7,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
6,3,3,207.0,218.0,135888.67459988734,149540.96522915634,0.9495412844036697,0.9087053463353787,7,7,1,161.0,8691,4424,4267,0.014699331848552322,0.03439692238062908,5,1241.1173299335453,161.0,3,2,True,"{0: np.int64(1), 1: np.int64(0), 2: np.int64(3)}","{(0, 2): [(np.int64(1), 3)], (1, 2): [(np.int64(0), 1), (1, np.int64(3))]}","{(0, np.int64(1)): {'cpu': 15}, (1, np.int64(0)): {'cpu': 17}, (2, np.int64(3)): {'cpu': 1}}","{((0, 2), (np.int64(1), 3)): {'bw': 43}, ((1, 2), (np.int64(0), 1)): {'bw': 11}, ((1, 2), (1, np.int64(3))): {'bw': 11}}",98.0,87.0,66.0,33.0,54.0,33.0,54.0,33.0,65.0,11.0,0.8877551020408163,121629.49833348744,107977.20770421844,1101.80824187978,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -78}, 1: {'cpu': -70}, 2: {'cpu': -57}}, 'link_level': {(0, 2): {'bw': -25}, (1, 2): {'bw': -14}}, 'path_level': {(0, 2): {}, (1, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0
7,3,3,207.0,218.0,135888.67459988734,149540.96522915634,0.9495412844036697,0.9087053463353787,7,8,1,186.0,8691,4424,4267,0.014699331848552322,0.03439692238062908,6,310.0901200761372,186.0,9,19,False,"{5: np.int64(13), 3: np.int64(28), 6: np.int64(6), 4: np.int64(27), 8: np.int64(30), 7: np.int64(14), 0: np.int64(29), 1: np.int64(2), 2: np.int64(0)}","{(0, 3): [(np.int64(29), 14), (14, 6), (6, 13), (13, np.int64(28))], (0, 5): [(np.int64(29), 14), (14, 6), (6, np.int64(13))], (0, 6): []}","{(5, np.int64(13)): {'cpu': 20}, (3, np.int64(28)): {'cpu': 19}, (6, np.int64(6)): {'cpu': 7}, (4, np.int64(27)): {'cpu': 19}, (8, np.int64(30)): {'cpu': 15}, (7, np.int64(14)): {'cpu': 3}, (0, np.int64(29)): {'cpu': 2}, (1, np.int64(2)): {'cpu': 2}, (2, np.int64(0)): {'cpu': 0}}","{((0, 3), (np.int64(29), 14)): {'bw': 28}, ((0, 3), (14, 6)): {'bw': 28}, ((0, 3), (6, 13)): {'bw': 28}, ((0, 3), (13, np.int64(28))): {'bw': 28}, ((0, 5), (np.int64(29), 14)): {'bw': 12}, ((0, 5), (14, 6)): {'bw': 12}, ((0, 5), (6, np.int64(13))): {'bw': 12}}",0.0,0.0,174.0,87.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,13.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {5: {'cpu': -75}, 3: {'cpu': -54}, 6: {'cpu': -48}, 4: {'cpu': -35}, 8: {'cpu': -76}, 7: {'cpu': -53}, 0: {'cpu': -71}, 1: {'cpu': -60}, 2: {'cpu': -70}}, 'link_level': {(0, 3): {'bw': -32}, (0, 5): {'bw': -33}, (0, 6): {'bw': 13}}, 'path_level': {(0, 3): {}, (0, 5): {}, (0, 6): {}}}","{'node_level': {5: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 13}}, 'path_level': {(0, 3): {}, (0, 5): {}, (0, 6): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,9.0,3.0
8,3,3,207.0,218.0,135888.67459988734,149540.96522915634,0.9495412844036697,0.9087053463353787,7,9,1,207.0,8691,4424,4267,0.014699331848552322,0.03439692238062908,7,70.93576580993681,207.0,8,16,False,"{0: np.int64(13), 5: np.int64(28), 7: np.int64(6), 1: np.int64(27), 3: np.int64(30), 4: np.int64(14), 2: np.int64(29), 6: np.int64(2)}","{(0, 1): [(np.int64(13), 27)], (0, 2): [(np.int64(13), 6), (6, 14), (14, np.int64(29))], (0, 3): [(np.int64(13), 6), (6, 14), (14, np.int64(30))], (0, 4): [(np.int64(13), 6), (6, np.int64(14))], (0, 5): [(np.int64(13), 28)], (0, 6): []}","{(0, np.int64(13)): {'cpu': 18}, (5, np.int64(28)): {'cpu': 20}, (7, np.int64(6)): {'cpu': 19}, (1, np.int64(27)): {'cpu': 13}, (3, np.int64(30)): {'cpu': 20}, (4, np.int64(14)): {'cpu': 6}, (2, np.int64(29)): {'cpu': 1}, (6, np.int64(2)): {'cpu': 1}}","{((0, 1), (np.int64(13), 27)): {'bw': 46}, ((0, 2), (np.int64(13), 6)): {'bw': 30}, ((0, 2), (6, 14)): {'bw': 30}, ((0, 2), (14, np.int64(29))): {'bw': 30}, ((0, 3), (np.int64(13), 6)): {'bw': 0}, ((0, 3), (6, 14)): {'bw': 0}, ((0, 3), (14, np.int64(30))): {'bw': 0}, ((0, 4), (np.int64(13), 6)): {'bw': 14}, ((0, 4), (6, np.int64(14))): {'bw': 14}, ((0, 5), (np.int64(13), 28)): {'bw': 33}}",0.0,0.0,196.0,98.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,13.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {0: {'cpu': -77}, 5: {'cpu': -53}, 7: {'cpu': -36}, 1: {'cpu': -41}, 3: {'cpu': -71}, 4: {'cpu': -50}, 2: {'cpu': -72}, 6: {'cpu': -61}}, 'link_level': {(0, 1): {'bw': -38}, (0, 2): {'bw': -43}, (0, 3): {'bw': -45}, (0, 4): {'bw': -31}, (0, 5): {'bw': -27}, (0, 6): {'bw': 13}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}}}","{'node_level': {0: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 0}, (0, 6): {'bw': 13}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (0, 5): {}, (0, 6): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,8.0,6.0
