v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,9504,4874,4630,0.0,0.0,0,751.6116744769311,15.0,10,19,False,"{4: 5, 1: 2, 2: 11, 6: 6, 3: 25}","{(1, 4): [(2, 5)], (2, 4): [(11, 5)], (6, 1): [(6, 2)], (6, 2): [(6, 2), (2, 5), (5, 11)], (6, 4): [(6, 2), (2, 5)], (3, 4): [(25, 12), (12, 5)]}","{(4, 5): {'cpu': 13}, (1, 2): {'cpu': 20}, (2, 11): {'cpu': 6}, (6, 6): {'cpu': 12}, (3, 25): {'cpu': 2}}","{((1, 4), (2, 5)): {'bw': 10}, ((2, 4), (11, 5)): {'bw': 47}, ((6, 1), (6, 2)): {'bw': 31}, ((6, 2), (6, 2)): {'bw': 33}, ((6, 2), (2, 5)): {'bw': 33}, ((6, 2), (5, 11)): {'bw': 33}, ((6, 4), (6, 2)): {'bw': 33}, ((6, 4), (2, 5)): {'bw': 33}, ((3, 4), (25, 12)): {'bw': 21}, ((3, 4), (12, 5)): {'bw': 21}}",0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3400.0,"{'node_level': {'cpu': -75}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -80}, 1: {'cpu': -75}, 2: {'cpu': -93}, 6: {'cpu': -56}, 3: {'cpu': -91}, 5: {'cpu': -75}}, 'link_level': {(1, 4): {'bw': -66}, (2, 4): {'bw': -37}, (6, 1): {'bw': -69}, (6, 2): {'bw': -4}, (6, 4): {'bw': 0}, (3, 4): {'bw': -38}, (5, 1): {'bw': 100.0}, (5, 2): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 1): {}, (6, 2): {}, (6, 4): {}, (3, 4): {}, (5, 1): {}, (5, 2): {}}}","{'node_level': {4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (6, 1): {'bw': 0}, (6, 2): {'bw': 0}, (6, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 1): {'bw': 100.0}, (5, 2): {'bw': 100.0}}, 'path_level': {(1, 4): {}, (2, 4): {}, (6, 1): {}, (6, 2): {}, (6, 4): {}, (3, 4): {}, (5, 1): {}, (5, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,34.0,5.0,6.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,9504,4874,4630,0.0,0.0,1,750.5227476258572,43.0,10,17,False,"{4: 5, 2: 2, 6: 11}","{(2, 4): [(2, 5)], (6, 2): [(11, 5), (5, 2)], (6, 4): [(11, 5)]}","{(4, 5): {'cpu': 20}, (2, 2): {'cpu': 14}, (6, 11): {'cpu': 8}}","{((2, 4), (2, 5)): {'bw': 11}, ((6, 2), (11, 5)): {'bw': 37}, ((6, 2), (5, 2)): {'bw': 37}, ((6, 4), (11, 5)): {'bw': 44}}",0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3600.0,"{'node_level': {'cpu': -65}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {4: {'cpu': -73}, 2: {'cpu': -81}, 6: {'cpu': -91}, 0: {'cpu': -65}}, 'link_level': {(2, 4): {'bw': -65}, (6, 2): {'bw': -28}, (6, 4): {'bw': -3}, (0, 4): {'bw': 100.0}, (0, 6): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (6, 2): {}, (6, 4): {}, (0, 4): {}, (0, 6): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 4): {'bw': 0}, (6, 2): {'bw': 0}, (6, 4): {'bw': 0}, (0, 4): {'bw': 100.0}, (0, 6): {'bw': 100.0}}, 'path_level': {(2, 4): {}, (6, 2): {}, (6, 4): {}, (0, 4): {}, (0, 6): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,36.0,3.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,65.0,9504,4874,4630,0.0,0.0,2,349.3600929825318,65.0,8,17,False,"{1: 5, 0: 2, 7: 0, 5: 23}","{(0, 1): [(2, 5)], (7, 0): [(0, 2)], (7, 1): [(0, 2), (2, 5)], (5, 1): [(23, 11), (11, 5)]}","{(1, 5): {'cpu': 20}, (0, 2): {'cpu': 20}, (7, 0): {'cpu': 15}, (5, 23): {'cpu': 15}}","{((0, 1), (2, 5)): {'bw': 50}, ((7, 0), (0, 2)): {'bw': 46}, ((7, 1), (0, 2)): {'bw': 17}, ((7, 1), (2, 5)): {'bw': 17}, ((5, 1), (23, 11)): {'bw': 38}, ((5, 1), (11, 5)): {'bw': 38}}",0.0,0.0,184.0,92.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,3500.0,"{'node_level': {'cpu': -70}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -73}, 0: {'cpu': -75}, 7: {'cpu': -75}, 5: {'cpu': -39}, 6: {'cpu': -70}}, 'link_level': {(0, 1): {'bw': -26}, (7, 0): {'bw': -36}, (7, 1): {'bw': -9}, (5, 1): {'bw': -18}, (6, 0): {'bw': -50}, (6, 1): {'bw': 100.0}, (6, 5): {'bw': -5}, (6, 7): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (7, 0): {}, (7, 1): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (6, 7): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (7, 0): {'bw': 0}, (7, 1): {'bw': 0}, (5, 1): {'bw': 0}, (6, 0): {'bw': 0}, (6, 1): {'bw': 100.0}, (6, 5): {'bw': 0}, (6, 7): {'bw': 100.0}}, 'path_level': {(0, 1): {}, (7, 0): {}, (7, 1): {}, (5, 1): {}, (6, 0): {}, (6, 1): {}, (6, 5): {}, (6, 7): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,35.0,4.0,4.0
4,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,3,1,82.0,9441,4839,4602,0.0071809601969634596,0.006047516198704139,3,1570.3512005386167,82.0,4,4,True,"{1: 5, 0: 2, 3: 11, 2: 12}","{(0, 1): [(2, 5)], (3, 1): [(11, 5)], (2, 0): [(12, 5), (5, 2)], (2, 3): [(12, 5), (5, 11)]}","{(1, 5): {'cpu': 18}, (0, 2): {'cpu': 14}, (3, 11): {'cpu': 1}, (2, 12): {'cpu': 2}}","{((0, 1), (2, 5)): {'bw': 2}, ((3, 1), (11, 5)): {'bw': 20}, ((2, 0), (12, 5)): {'bw': 3}, ((2, 0), (5, 2)): {'bw': 3}, ((2, 3), (12, 5)): {'bw': 0}, ((2, 3), (5, 11)): {'bw': 0}}",63.0,60.0,70.0,35.0,25.0,35.0,25.0,35.0,28.0,3.0,0.9523809523809523,98932.12563393285,94221.072032317,1495.5725719415395,Success,0.0,"{'node_level': {'cpu': -79}, 'link_level': {'bw': -56}, 'path_level': {}}","{'node_level': {1: {'cpu': -75}, 0: {'cpu': -81}, 3: {'cpu': -98}, 2: {'cpu': -79}}, 'link_level': {(0, 1): {'bw': -74}, (3, 1): {'bw': -64}, (2, 0): {'bw': -56}, (2, 3): {'bw': -56}}, 'path_level': {(0, 1): {}, (3, 1): {}, (2, 0): {}, (2, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (3, 1): {'bw': 0}, (2, 0): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (3, 1): {}, (2, 0): {}, (2, 3): {}}}",[],-56.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,4.0
5,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,4,1,110.0,9441,4839,4602,0.0071809601969634596,0.006047516198704139,4,201.63903511487771,110.0,10,23,False,"{1: 10, 5: 4, 2: 21}","{(5, 1): [(4, 10)], (2, 1): [(21, 10)], (2, 5): [(21, 10), (10, 4)]}","{(1, 10): {'cpu': 20}, (5, 4): {'cpu': 17}, (2, 21): {'cpu': 10}}","{((5, 1), (4, 10)): {'bw': 32}, ((2, 1), (21, 10)): {'bw': 28}, ((2, 5), (21, 10)): {'bw': 27}, ((2, 5), (10, 4)): {'bw': 27}}",0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2400.0,"{'node_level': {'cpu': -61}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -64}, 5: {'cpu': -55}, 2: {'cpu': -43}, 8: {'cpu': -61}}, 'link_level': {(5, 1): {'bw': -58}, (2, 1): {'bw': -62}, (2, 5): {'bw': -31}, (8, 1): {'bw': 100.0}, (8, 5): {'bw': 100.0}}, 'path_level': {(5, 1): {}, (2, 1): {}, (2, 5): {}, (8, 1): {}, (8, 5): {}}}","{'node_level': {1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(5, 1): {'bw': 0}, (2, 1): {'bw': 0}, (2, 5): {'bw': 0}, (8, 1): {'bw': 100.0}, (8, 5): {'bw': 100.0}}, 'path_level': {(5, 1): {}, (2, 1): {}, (2, 5): {}, (8, 1): {}, (8, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,24.0,3.0,3.0
6,1,1,60.0,63.0,94221.072032317,98932.12563393285,0.9523809523809523,0.9523809523809523,4,5,1,131.0,9441,4839,4602,0.0071809601969634596,0.006047516198704139,5,328.3672823909719,131.0,9,21,False,"{1: 10, 3: 4, 7: 21, 2: 22, 6: 1, 4: 53}","{(3, 1): [(4, 10)], (7, 1): [(21, 10)], (2, 1): [(22, 10)], (2, 3): [(22, 10), (10, 4)], (2, 7): [(22, 10), (10, 21)], (6, 1): [(1, 4), (4, 10)], (6, 3): [(1, 4)], (4, 1): [(53, 21), (21, 10)], (4, 7): [(53, 21)]}","{(1, 10): {'cpu': 20}, (3, 4): {'cpu': 12}, (7, 21): {'cpu': 11}, (2, 22): {'cpu': 11}, (6, 1): {'cpu': 19}, (4, 53): {'cpu': 1}}","{((3, 1), (4, 10)): {'bw': 41}, ((7, 1), (21, 10)): {'bw': 35}, ((2, 1), (22, 10)): {'bw': 30}, ((2, 3), (22, 10)): {'bw': 23}, ((2, 3), (10, 4)): {'bw': 23}, ((2, 7), (22, 10)): {'bw': 4}, ((2, 7), (10, 21)): {'bw': 4}, ((6, 1), (1, 4)): {'bw': 21}, ((6, 1), (4, 10)): {'bw': 21}, ((6, 3), (1, 4)): {'bw': 12}, ((4, 1), (53, 21)): {'bw': 47}, ((4, 1), (21, 10)): {'bw': 47}, ((4, 7), (53, 21)): {'bw': 37}}",0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2100.0,"{'node_level': {'cpu': -51}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {1: {'cpu': -64}, 3: {'cpu': -60}, 7: {'cpu': -42}, 2: {'cpu': -77}, 6: {'cpu': -46}, 4: {'cpu': -64}, 8: {'cpu': -51}}, 'link_level': {(3, 1): {'bw': -49}, (7, 1): {'bw': -55}, (2, 1): {'bw': -37}, (2, 3): {'bw': -14}, (2, 7): {'bw': -10}, (6, 1): {'bw': -5}, (6, 3): {'bw': -49}, (4, 1): {'bw': -4}, (4, 7): {'bw': -6}, (8, 3): {'bw': -22}, (8, 6): {'bw': -29}, (8, 7): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (7, 1): {}, (2, 1): {}, (2, 3): {}, (2, 7): {}, (6, 1): {}, (6, 3): {}, (4, 1): {}, (4, 7): {}, (8, 3): {}, (8, 6): {}, (8, 7): {}}}","{'node_level': {1: {'cpu': 0}, 3: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 8: {'cpu': 0}}, 'link_level': {(3, 1): {'bw': 0}, (7, 1): {'bw': 0}, (2, 1): {'bw': 0}, (2, 3): {'bw': 0}, (2, 7): {'bw': 0}, (6, 1): {'bw': 0}, (6, 3): {'bw': 0}, (4, 1): {'bw': 0}, (4, 7): {'bw': 0}, (8, 3): {'bw': 0}, (8, 6): {'bw': 0}, (8, 7): {'bw': 100.0}}, 'path_level': {(3, 1): {}, (7, 1): {}, (2, 1): {}, (2, 3): {}, (2, 7): {}, (6, 1): {}, (6, 3): {}, (4, 1): {}, (4, 7): {}, (8, 3): {}, (8, 6): {}, (8, 7): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,21.0,6.0,9.0
7,2,2,235.0,269.0,214954.57112860994,241052.7017129977,0.8736059479553904,0.8917326775475816,8,6,1,153.0,9235,4791,4444,0.01702913418137053,0.040172786177105846,6,689.905709121674,153.0,4,5,True,"{2: 10, 1: 4, 0: 21, 3: 22}","{(1, 2): [(4, 10)], (0, 1): [(21, 10), (10, 4)], (0, 2): [(21, 10)], (3, 0): [(22, 10), (10, 21)], (3, 2): [(22, 10)]}","{(2, 10): {'cpu': 15}, (1, 4): {'cpu': 11}, (0, 21): {'cpu': 6}, (3, 22): {'cpu': 16}}","{((1, 2), (4, 10)): {'bw': 33}, ((0, 1), (21, 10)): {'bw': 30}, ((0, 1), (10, 4)): {'bw': 30}, ((0, 2), (21, 10)): {'bw': 46}, ((3, 0), (22, 10)): {'bw': 1}, ((3, 0), (10, 21)): {'bw': 1}, ((3, 2), (22, 10)): {'bw': 17}}",206.0,175.0,96.0,48.0,127.0,48.0,127.0,48.0,158.0,31.0,0.8495145631067961,142120.57607906483,120733.49909629296,586.0849470693832,Success,0.0,"{'node_level': {'cpu': -72}, 'link_level': {'bw': -13}, 'path_level': {}}","{'node_level': {2: {'cpu': -69}, 1: {'cpu': -61}, 0: {'cpu': -47}, 3: {'cpu': -72}}, 'link_level': {(1, 2): {'bw': -57}, (0, 1): {'bw': -27}, (0, 2): {'bw': -14}, (3, 0): {'bw': -13}, (3, 2): {'bw': -49}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}, (3, 0): {}, (3, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(1, 2): {'bw': 0}, (0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}}, 'path_level': {(1, 2): {}, (0, 1): {}, (0, 2): {}, (3, 0): {}, (3, 2): {}}}",[],-13.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,5.0
8,2,2,235.0,269.0,214954.57112860994,241052.7017129977,0.8736059479553904,0.8917326775475816,8,7,1,179.0,9235,4791,4444,0.01702913418137053,0.040172786177105846,7,975.3993538436497,179.0,3,2,False,"{1: 11, 0: 5, 2: 2}","{(0, 1): [(5, 11)], (2, 0): [(2, 5)]}","{(1, 11): {'cpu': 3}, (0, 5): {'cpu': 0}, (2, 2): {'cpu': 0}}","{((0, 1), (5, 11)): {'bw': 32}, ((2, 0), (2, 5)): {'bw': 50}}",0.0,0.0,6.0,3.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,200.0,"{'node_level': {'cpu': -81}, 'link_level': {'bw': -21}, 'path_level': {}}","{'node_level': {1: {'cpu': -95}, 0: {'cpu': -75}, 2: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -32}, (2, 0): {'bw': -21}}, 'path_level': {(0, 1): {}, (2, 0): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (2, 0): {'bw': 0}}, 'path_level': {(0, 1): {}, (2, 0): {}}}",[],-21.0,100.0,True,False,False,0,[],0,0.0,2.0,3.0,2.0
9,2,2,235.0,269.0,214954.57112860994,241052.7017129977,0.8736059479553904,0.8917326775475816,8,8,1,200.0,9235,4791,4444,0.01702913418137053,0.040172786177105846,8,267.6104373790477,200.0,7,10,False,"{5: 11, 4: 5, 2: 24, 0: 2, 1: 12}","{(4, 5): [(5, 11)], (2, 4): [(24, 11), (11, 5)], (2, 5): [(24, 11)], (0, 5): [(2, 5), (5, 11)], (1, 0): [(12, 5), (5, 2)], (1, 5): [(12, 5), (5, 11)]}","{(5, 11): {'cpu': 20}, (4, 5): {'cpu': 18}, (2, 24): {'cpu': 4}, (0, 2): {'cpu': 9}, (1, 12): {'cpu': 2}}","{((4, 5), (5, 11)): {'bw': 13}, ((2, 4), (24, 11)): {'bw': 31}, ((2, 4), (11, 5)): {'bw': 31}, ((2, 5), (24, 11)): {'bw': 48}, ((0, 5), (2, 5)): {'bw': 10}, ((0, 5), (5, 11)): {'bw': 10}, ((1, 0), (12, 5)): {'bw': 21}, ((1, 0), (5, 2)): {'bw': 21}, ((1, 5), (12, 5)): {'bw': 0}, ((1, 5), (5, 11)): {'bw': 0}}",0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2200.0,"{'node_level': {'cpu': -37}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {5: {'cpu': -78}, 4: {'cpu': -57}, 2: {'cpu': -88}, 0: {'cpu': -72}, 1: {'cpu': -77}, 3: {'cpu': -37}}, 'link_level': {(4, 5): {'bw': -51}, (2, 4): {'bw': -20}, (2, 5): {'bw': -8}, (0, 5): {'bw': -10}, (1, 0): {'bw': -35}, (1, 5): {'bw': -10}, (3, 0): {'bw': -9}, (3, 2): {'bw': 100.0}}, 'path_level': {(4, 5): {}, (2, 4): {}, (2, 5): {}, (0, 5): {}, (1, 0): {}, (1, 5): {}, (3, 0): {}, (3, 2): {}}}","{'node_level': {5: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(4, 5): {'bw': 0}, (2, 4): {'bw': 0}, (2, 5): {'bw': 0}, (0, 5): {'bw': 0}, (1, 0): {'bw': 0}, (1, 5): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 100.0}}, 'path_level': {(4, 5): {}, (2, 4): {}, (2, 5): {}, (0, 5): {}, (1, 0): {}, (1, 5): {}, (3, 0): {}, (3, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,22.0,5.0,6.0
10,2,2,235.0,269.0,214954.57112860994,241052.7017129977,0.8736059479553904,0.8917326775475816,8,9,1,232.0,9235,4791,4444,0.01702913418137053,0.040172786177105846,9,944.1941561255088,232.0,6,9,False,"{3: 11, 0: 5}","{(0, 3): [(5, 11)]}","{(3, 11): {'cpu': 19}, (0, 5): {'cpu': 5}}","{((0, 3), (5, 11)): {'bw': 50}}",0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2500.0,"{'node_level': {'cpu': -51}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -79}, 0: {'cpu': -70}, 4: {'cpu': -51}}, 'link_level': {(0, 3): {'bw': -14}, (4, 0): {'bw': -21}, (4, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (4, 0): {}, (4, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (4, 0): {'bw': 0}, (4, 3): {'bw': 100.0}}, 'path_level': {(0, 3): {}, (4, 0): {}, (4, 3): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,25.0,2.0,1.0
