v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,9504.0,4874,4630.0,0.0,0.0,0,751.6116744769311,15.0,10,19,False,{},{},{},{},0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,9504.0,4874,4630.0,0.0,0.0,1,750.5227476258572,43.0,10,17,False,{},{},{},{},0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,65.0,9504.0,4874,4630.0,0.0,0.0,2,349.3600929825318,65.0,8,17,False,{},{},{},{},0.0,0.0,184.0,92.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
4,1,1,60.0,60.0,94221.072032317,94221.072032317,1.0,1.0,4,3,1,82.0,9444.0,4839,4605.0,0.0071809601969634596,0.005399568034557212,3,1570.3512005386167,82.0,4,4,True,"{0: 0, 1: 1, 2: 2, 3: 3}","{(0, 1): [(0, 1)], (0, 2): [(0, 2)], (1, 3): [(1, 3)], (2, 3): []}","{(0, 0): {'cpu': 14}, (1, 1): {'cpu': 18}, (2, 2): {'cpu': 2}, (3, 3): {'cpu': 1}}","{((0, 1), (0, 1)): {'bw': 2.0}, ((0, 2), (0, 2)): {'bw': 3.0}, ((1, 3), (1, 3)): {'bw': 20.0}}",60.0,60.0,70.0,35.0,25.0,35.0,25.0,35.0,25.0,0.0,1.0,94221.072032317,94221.072032317,1570.3512005386167,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,4.0
5,1,1,60.0,60.0,94221.072032317,94221.072032317,1.0,1.0,4,4,1,110.0,9444.0,4839,4605.0,0.0071809601969634596,0.005399568034557212,4,201.63903511487771,110.0,10,23,False,{},{},{},{},0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
6,1,1,60.0,60.0,94221.072032317,94221.072032317,1.0,1.0,4,5,1,131.0,9444.0,4839,4605.0,0.0071809601969634596,0.005399568034557212,5,328.3672823909719,131.0,9,21,False,{},{},{},{},0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
7,1,1,60.0,60.0,94221.072032317,94221.072032317,1.0,1.0,4,6,1,153.0,9444.0,4839,4605.0,0.0071809601969634596,0.005399568034557212,6,689.905709121674,153.0,4,5,False,{},{},{},{},0.0,0.0,96.0,48.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
8,2,2,145.0,145.0,177130.01710902722,177130.01710902722,1.0,1.0,4,7,1,179.0,9359.0,4836,4523.0,0.0077964710709889085,0.023110151187904937,7,975.3993538436497,179.0,3,2,True,"{0: 0, 1: 1, 2: 2}","{(0, 1): [(0, 1)], (0, 2): [(0, 2)]}","{(0, 0): {'cpu': 0}, (1, 1): {'cpu': 3}, (2, 2): {'cpu': 0}}","{((0, 1), (0, 1)): {'bw': 32.0}, ((0, 2), (0, 2)): {'bw': 50.0}}",85.0,85.0,6.0,3.0,82.0,3.0,82.0,3.0,82.0,0.0,1.0,82908.94507671022,82908.94507671022,975.3993538436497,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0
9,2,2,145.0,145.0,177130.01710902722,177130.01710902722,1.0,1.0,4,8,1,200.0,9359.0,4836,4523.0,0.0077964710709889085,0.023110151187904937,8,267.6104373790477,200.0,7,10,False,{},{},{},{},0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
10,2,2,145.0,145.0,177130.01710902722,177130.01710902722,1.0,1.0,4,9,1,232.0,9359.0,4836,4523.0,0.0077964710709889085,0.023110151187904937,9,944.1941561255088,232.0,6,9,False,{},{},{},{},0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown Reason,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,0.0,0.0
