v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links
1,1,1,303.0,410.0,8464.31337992964,11453.361339178718,0.7390243902439024,0.7390243902439025,7,0,1,22.0,16561,2542,14019,0.02080123266563949,0.02476521739130433,0,27.93502765653346,22.0,7,8,True,"{4: 20, 0: 0, 1: 1, 3: 22, 2: 23, 6: 4, 5: 12}","{(0, 4): [(0, 20)], (1, 4): [(1, 20)], (3, 0): [(22, 20), (20, 0)], (3, 1): [(22, 20), (20, 1)], (3, 4): [(22, 20)], (2, 4): [(23, 20)], (6, 0): [(4, 0)], (5, 6): [(12, 0), (0, 4)]}","{(4, 20): {'cpu': 19}, (0, 0): {'cpu': 17}, (1, 1): {'cpu': 3}, (3, 22): {'cpu': 1}, (2, 23): {'cpu': 3}, (6, 4): {'cpu': 7}, (5, 12): {'cpu': 4}}","{((0, 4), (0, 20)): {'bw': 10}, ((1, 4), (1, 20)): {'bw': 29}, ((3, 0), (22, 20)): {'bw': 42}, ((3, 0), (20, 0)): {'bw': 42}, ((3, 1), (22, 20)): {'bw': 49}, ((3, 1), (20, 1)): {'bw': 49}, ((3, 4), (22, 20)): {'bw': 50}, ((2, 4), (23, 20)): {'bw': 24}, ((6, 0), (4, 0)): {'bw': 29}, ((5, 6), (12, 0)): {'bw': 16}, ((5, 6), (0, 4)): {'bw': 16}}",410.0,303.0,108.0,54.0,249.0,54.0,249.0,54.0,356.0,107.0,0.7390243902439024,11453.361339178718,8464.31337992964,20.64466678031619,Success,0.0,"{'node_level': {'cpu': -52}, 'link_level': {'bw': -213}, 'path_level': {}}","{'node_level': {4: {'cpu': -77}, 0: {'cpu': -77}, 1: {'cpu': -94}, 3: {'cpu': -66}, 2: {'cpu': -84}, 6: {'cpu': -46}, 5: {'cpu': -52}}, 'link_level': {(0, 4): {'bw': -337}, (1, 4): {'bw': -203}, (3, 0): {'bw': -278}, (3, 1): {'bw': -154}, (3, 4): {'bw': -179}, (2, 4): {'bw': -177}, (6, 0): {'bw': -348}, (5, 6): {'bw': -213}}, 'path_level': {(0, 4): {}, (1, 4): {}, (3, 0): {}, (3, 1): {}, (3, 4): {}, (2, 4): {}, (6, 0): {}, (5, 6): {}}}","{'node_level': {4: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (3, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 4): {'bw': 0}, (2, 4): {'bw': 0}, (6, 0): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 4): {}, (1, 4): {}, (3, 0): {}, (3, 1): {}, (3, 4): {}, (2, 4): {}, (6, 0): {}, (5, 6): {}}}",[],-52.0,0.0,True,True,False,0,[],0,0.0,0.0,7.0,8.0
2,2,2,341.0,448.0,12703.958321368384,15693.006280617465,0.7611607142857143,0.8095299329013286,8,1,1,49.0,16523,2538,13985,0.02234206471494604,0.02713043478260868,1,111.56960372207224,49.0,2,1,True,"{1: 28, 0: 0}","{(0, 1): [(0, 28)]}","{(1, 28): {'cpu': 4}, (0, 0): {'cpu': 0}}","{((0, 1), (0, 28)): {'bw': 34}}",38.0,38.0,8.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {'cpu': -77}, 'link_level': {'bw': -313}, 'path_level': {}}","{'node_level': {1: {'cpu': -66}, 0: {'cpu': -77}}, 'link_level': {(0, 1): {'bw': -313}}, 'path_level': {(0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-77.0,0.0,True,True,False,0,[],0,0.0,0.0,2.0,1.0
2,2,1,341.0,448.0,12703.958321368384,15693.006280617465,0.7611607142857143,0.8095299329013286,8,2,0,49.935027656533464,16933,2592,14341,0.0015408320493066618,0.002365217391304353,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
3,3,2,542.0,730.0,14582.853133758059,18329.067659194025,0.7424657534246575,0.7956134706307971,8,3,1,68.0,16651,2555,14096,0.01579352850539295,0.019408695652173957,2,9.347735385023263,68.0,5,6,True,"{4: 20, 3: 0, 1: 1, 2: 22, 0: 23}","{(3, 4): [(0, 20)], (1, 3): [(1, 4), (4, 0)], (1, 4): [(1, 20)], (2, 4): [(22, 20)], (0, 1): [(23, 20), (20, 1)], (0, 3): [(23, 20), (20, 0)]}","{(4, 20): {'cpu': 19}, (3, 0): {'cpu': 2}, (1, 1): {'cpu': 1}, (2, 22): {'cpu': 2}, (0, 23): {'cpu': 13}}","{((3, 4), (0, 20)): {'bw': 49}, ((1, 3), (1, 4)): {'bw': 39}, ((1, 3), (4, 0)): {'bw': 39}, ((1, 4), (1, 20)): {'bw': 21}, ((2, 4), (22, 20)): {'bw': 13}, ((0, 1), (23, 20)): {'bw': 12}, ((0, 1), (20, 1)): {'bw': 12}, ((0, 3), (23, 20)): {'bw': 30}, ((0, 3), (20, 0)): {'bw': 30}}",282.0,201.0,74.0,37.0,164.0,37.0,164.0,37.0,245.0,81.0,0.7127659574468085,2636.0613785765604,1878.894812389676,6.662747561665517,Success,0.0,"{'node_level': {'cpu': -74}, 'link_level': {'bw': -159}, 'path_level': {}}","{'node_level': {4: {'cpu': -77}, 3: {'cpu': -92}, 1: {'cpu': -96}, 2: {'cpu': -65}, 0: {'cpu': -74}}, 'link_level': {(3, 4): {'bw': -298}, (1, 3): {'bw': -303}, (1, 4): {'bw': -211}, (2, 4): {'bw': -307}, (0, 1): {'bw': -189}, (0, 3): {'bw': -159}}, 'path_level': {(3, 4): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (0, 1): {}, (0, 3): {}}}","{'node_level': {4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(3, 4): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (0, 1): {'bw': 0}, (0, 3): {'bw': 0}}, 'path_level': {(3, 4): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (0, 1): {}, (0, 3): {}}}",[],-74.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,6.0
3,3,1,542.0,730.0,14582.853133758059,18329.067659194025,0.7424657534246575,0.7956134706307971,8,4,0,77.34773538502327,16933,2592,14341,0.0015408320493066618,0.002365217391304353,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
4,4,2,739.0,979.0,170056.50668700924,214841.4520995978,0.7548518896833504,0.791544206320916,8,5,1,105.0,16684,2543,14141,0.020416024653312825,0.016278260869565186,3,789.206363214473,105.0,5,5,True,"{2: 20, 0: 0, 4: 1, 3: 22, 1: 23}","{(0, 2): [(0, 20)], (4, 0): [(1, 4), (4, 0)], (4, 2): [(1, 20)], (3, 2): [(22, 20)], (1, 4): [(23, 20), (20, 1)]}","{(2, 20): {'cpu': 17}, (0, 0): {'cpu': 19}, (4, 1): {'cpu': 1}, (3, 22): {'cpu': 0}, (1, 23): {'cpu': 12}}","{((0, 2), (0, 20)): {'bw': 36}, ((4, 0), (1, 4)): {'bw': 10}, ((4, 0), (4, 0)): {'bw': 10}, ((4, 2), (1, 20)): {'bw': 28}, ((3, 2), (22, 20)): {'bw': 32}, ((1, 4), (23, 20)): {'bw': 42}, ((1, 4), (20, 1)): {'bw': 42}}",249.0,197.0,98.0,49.0,148.0,49.0,148.0,49.0,200.0,52.0,0.7911646586345381,196512.38444040378,155473.65355325118,624.3921829447838,Success,0.0,"{'node_level': {'cpu': -75}, 'link_level': {'bw': -159}, 'path_level': {}}","{'node_level': {2: {'cpu': -79}, 0: {'cpu': -75}, 4: {'cpu': -96}, 3: {'cpu': -67}, 1: {'cpu': -75}}, 'link_level': {(0, 2): {'bw': -311}, (4, 0): {'bw': -332}, (4, 2): {'bw': -204}, (3, 2): {'bw': -288}, (1, 4): {'bw': -159}}, 'path_level': {(0, 2): {}, (4, 0): {}, (4, 2): {}, (3, 2): {}, (1, 4): {}}}","{'node_level': {2: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (4, 0): {'bw': 0}, (4, 2): {'bw': 0}, (3, 2): {'bw': 0}, (1, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (4, 0): {}, (4, 2): {}, (3, 2): {}, (1, 4): {}}}",[],-75.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,5.0
5,5,3,1037.0,1484.0,207828.85778089848,278851.6443895779,0.6987870619946092,0.7453026079005116,11,6,1,131.0,16179,2459,13720,0.05277349768875195,0.04556521739130437,4,126.75285601976255,131.0,9,10,True,"{2: 1, 4: 4, 3: 12, 8: 20, 7: 28, 0: 0, 1: 6, 6: 7, 5: 14}","{(4, 2): [(4, 1)], (3, 2): [(12, 1)], (8, 2): [(20, 1)], (7, 2): [(28, 1)], (7, 4): [(28, 0), (0, 4)], (0, 2): [(0, 4), (4, 1)], (1, 4): [(6, 4)], (1, 8): [(6, 4), (4, 0), (0, 20)], (6, 1): [(7, 4), (4, 6)], (5, 6): [(14, 12), (12, 0), (0, 4), (4, 7)]}","{(2, 1): {'cpu': 13}, (4, 4): {'cpu': 15}, (3, 12): {'cpu': 19}, (8, 20): {'cpu': 6}, (7, 28): {'cpu': 7}, (0, 0): {'cpu': 2}, (1, 6): {'cpu': 1}, (6, 7): {'cpu': 4}, (5, 14): {'cpu': 17}}","{((4, 2), (4, 1)): {'bw': 18}, ((3, 2), (12, 1)): {'bw': 42}, ((8, 2), (20, 1)): {'bw': 29}, ((7, 2), (28, 1)): {'bw': 2}, ((7, 4), (28, 0)): {'bw': 17}, ((7, 4), (0, 4)): {'bw': 17}, ((0, 2), (0, 4)): {'bw': 9}, ((0, 2), (4, 1)): {'bw': 9}, ((1, 4), (6, 4)): {'bw': 15}, ((1, 8), (6, 4)): {'bw': 29}, ((1, 8), (4, 0)): {'bw': 29}, ((1, 8), (0, 20)): {'bw': 29}, ((6, 1), (7, 4)): {'bw': 18}, ((6, 1), (4, 6)): {'bw': 18}, ((5, 6), (14, 12)): {'bw': 35}, ((5, 6), (12, 0)): {'bw': 35}, ((5, 6), (0, 4)): {'bw': 35}, ((5, 6), (4, 7)): {'bw': 35}}",505.0,298.0,168.0,84.0,214.0,84.0,214.0,84.0,421.0,207.0,0.5900990099009901,64010.192289980085,37772.351093889236,74.79673483938463,Success,0.0,"{'node_level': {'cpu': -57}, 'link_level': {'bw': -175}, 'path_level': {}}","{'node_level': {2: {'cpu': -83}, 4: {'cpu': -38}, 3: {'cpu': -37}, 8: {'cpu': -73}, 7: {'cpu': -59}, 0: {'cpu': -73}, 1: {'cpu': -58}, 6: {'cpu': -65}, 5: {'cpu': -57}}, 'link_level': {(4, 2): {'bw': -314}, (3, 2): {'bw': -325}, (8, 2): {'bw': -133}, (7, 2): {'bw': -391}, (7, 4): {'bw': -296}, (0, 2): {'bw': -305}, (1, 4): {'bw': -368}, (1, 8): {'bw': -282}, (6, 1): {'bw': -210}, (5, 6): {'bw': -175}}, 'path_level': {(4, 2): {}, (3, 2): {}, (8, 2): {}, (7, 2): {}, (7, 4): {}, (0, 2): {}, (1, 4): {}, (1, 8): {}, (6, 1): {}, (5, 6): {}}}","{'node_level': {2: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 8: {'cpu': 0}, 7: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 6: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(4, 2): {'bw': 0}, (3, 2): {'bw': 0}, (8, 2): {'bw': 0}, (7, 2): {'bw': 0}, (7, 4): {'bw': 0}, (0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 8): {'bw': 0}, (6, 1): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(4, 2): {}, (3, 2): {}, (8, 2): {}, (7, 2): {}, (7, 4): {}, (0, 2): {}, (1, 4): {}, (1, 8): {}, (6, 1): {}, (5, 6): {}}}",[],-57.0,0.0,True,True,False,0,[],0,0.0,0.0,9.0,10.0
6,6,4,1224.0,1676.0,247440.79706408316,319522.72643434507,0.7303102625298329,0.774407504046279,14,7,1,155.0,15987,2396,13591,0.07704160246533132,0.054539130434782646,5,211.82855231649557,155.0,5,6,True,"{4: 21, 2: 2, 0: 3, 1: 22, 3: 23}","{(2, 4): [(2, 21)], (0, 2): [(3, 5), (5, 2)], (0, 4): [(3, 21)], (1, 2): [(22, 21), (21, 2)], (1, 4): [(22, 21)], (3, 4): [(23, 21)]}","{(4, 21): {'cpu': 13}, (2, 2): {'cpu': 12}, (0, 3): {'cpu': 19}, (1, 22): {'cpu': 16}, (3, 23): {'cpu': 3}}","{((2, 4), (2, 21)): {'bw': 44}, ((0, 2), (3, 5)): {'bw': 2}, ((0, 2), (5, 2)): {'bw': 2}, ((0, 4), (3, 21)): {'bw': 20}, ((1, 2), (22, 21)): {'bw': 3}, ((1, 2), (21, 2)): {'bw': 3}, ((1, 4), (22, 21)): {'bw': 17}, ((3, 4), (23, 21)): {'bw': 38}}",192.0,187.0,126.0,63.0,124.0,63.0,124.0,63.0,129.0,5.0,0.9739583333333334,40671.08204476715,39611.93928318467,206.31218376658686,Success,0.0,"{'node_level': {'cpu': -72}, 'link_level': {'bw': -331}, 'path_level': {}}","{'node_level': {4: {'cpu': -61}, 2: {'cpu': -38}, 0: {'cpu': -34}, 1: {'cpu': -51}, 3: {'cpu': -72}}, 'link_level': {(2, 4): {'bw': -283}, (0, 2): {'bw': -207}, (0, 4): {'bw': -343}, (1, 2): {'bw': -262}, (1, 4): {'bw': -245}, (3, 4): {'bw': -331}}, 'path_level': {(2, 4): {}, (0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (3, 4): {}}}","{'node_level': {4: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(2, 4): {'bw': 0}, (0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(2, 4): {}, (0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (3, 4): {}}}",[],-72.0,0.0,True,True,False,0,[],0,0.0,0.0,5.0,6.0
6,6,3,1224.0,1676.0,247440.79706408316,319522.72643434507,0.7303102625298329,0.774407504046279,14,8,0,160.56960372207226,16025,2400,13625,0.07550077041602465,0.05217391304347829,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
7,7,4,1527.0,2107.0,646221.9564392483,886765.893730372,0.7247271001423825,0.7287402019046721,16,9,1,181.0,15594,2338,13256,0.09938366718027736,0.07784347826086957,6,1316.109436881733,181.0,7,9,True,"{2: 28, 3: 0, 5: 1, 6: 30, 1: 31, 0: 4, 4: 12}","{(3, 2): [(0, 28)], (5, 2): [(1, 28)], (5, 3): [(1, 4), (4, 0)], (6, 2): [(30, 28)], (6, 3): [(30, 28), (28, 0)], (1, 2): [(31, 28)], (1, 6): [(31, 28), (28, 30)], (0, 2): [(4, 0), (0, 28)], (4, 5): [(12, 1)]}","{(2, 28): {'cpu': 5}, (3, 0): {'cpu': 10}, (5, 1): {'cpu': 15}, (6, 30): {'cpu': 4}, (1, 31): {'cpu': 10}, (0, 4): {'cpu': 10}, (4, 12): {'cpu': 8}}","{((3, 2), (0, 28)): {'bw': 30}, ((5, 2), (1, 28)): {'bw': 7}, ((5, 3), (1, 4)): {'bw': 24}, ((5, 3), (4, 0)): {'bw': 24}, ((6, 2), (30, 28)): {'bw': 24}, ((6, 3), (30, 28)): {'bw': 47}, ((6, 3), (28, 0)): {'bw': 47}, ((1, 2), (31, 28)): {'bw': 37}, ((1, 6), (31, 28)): {'bw': 35}, ((1, 6), (28, 30)): {'bw': 35}, ((0, 2), (4, 0)): {'bw': 22}, ((0, 2), (0, 28)): {'bw': 22}, ((4, 5), (12, 1)): {'bw': 15}}",431.0,303.0,124.0,62.0,241.0,62.0,241.0,62.0,369.0,128.0,0.703016241299304,567243.167296027,398781.1593751651,925.2463094551395,Success,0.0,"{'node_level': {'cpu': -29}, 'link_level': {'bw': -310}, 'path_level': {}}","{'node_level': {2: {'cpu': -58}, 3: {'cpu': -63}, 5: {'cpu': -68}, 6: {'cpu': -51}, 1: {'cpu': -55}, 0: {'cpu': -28}, 4: {'cpu': -29}}, 'link_level': {(3, 2): {'bw': -300}, (5, 2): {'bw': -384}, (5, 3): {'bw': -253}, (6, 2): {'bw': -187}, (6, 3): {'bw': -140}, (1, 2): {'bw': -337}, (1, 6): {'bw': -105}, (0, 2): {'bw': -231}, (4, 5): {'bw': -310}}, 'path_level': {(3, 2): {}, (5, 2): {}, (5, 3): {}, (6, 2): {}, (6, 3): {}, (1, 2): {}, (1, 6): {}, (0, 2): {}, (4, 5): {}}}","{'node_level': {2: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(3, 2): {'bw': 0}, (5, 2): {'bw': 0}, (5, 3): {'bw': 0}, (6, 2): {'bw': 0}, (6, 3): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (0, 2): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(3, 2): {}, (5, 2): {}, (5, 3): {}, (6, 2): {}, (6, 3): {}, (1, 2): {}, (1, 6): {}, (0, 2): {}, (4, 5): {}}}",[],-29.0,0.0,True,True,False,0,[],0,0.0,0.0,7.0,9.0
